order_id,store_location,customer_id,order_date,total_amount,payment_method
1000,Chicago,37,2023-09-02T00:00:00,487.78,Cash
1000,New York,264,2022-04-22T00:00:00,142.23,Online Payment
1000,Miami,182,2022-01-02T00:00:00,292.66,Online Payment
1000,Los Angeles,99,2022-05-20T00:00:00,69.82,Debit Card
1001,New York,237,2021-07-17T00:00:00,160.78,Cash
1001,Chicago,169,2018-05-02T00:00:00,71.46,Online Payment
1002,New York,136,2020-03-15T00:00:00,242.34,Credit Card
1000,Houston,69,2021-08-02T00:00:00,284.93,Cash
1003,New York,154,2019-07-30T00:00:00,275.09,Credit Card
1001,Miami,191,2020-01-17T00:00:00,291.78,Credit Card
1002,Chicago,206,2018-12-05T00:00:00,287.11,Cash
1002,Miami,108,2022-02-03T00:00:00,499.27,Credit Card
1001,Los Angeles,1,2021-12-06T00:00:00,332.94,Credit Card
1004,New York,133,2022-02-14T00:00:00,320.52,Debit Card
1003,Chicago,2,2019-03-30T00:00:00,451.07,Online Payment
1003,Miami,232,2019-06-15T00:00:00,457.07,Credit Card
1001,Houston,76,2018-03-24T00:00:00,294.58,Debit Card
1002,Houston,65,2018-10-01T00:00:00,144.89,Credit Card
1004,Miami,279,2019-09-23T00:00:00,144.45,Online Payment
1005,Miami,225,2022-05-20T00:00:00,114.1,Online Payment
1005,New York,234,2019-03-01T00:00:00,136.67,Debit Card
1002,Los Angeles,148,2018-06-20T00:00:00,387.71,Debit Card
1004,Chicago,87,2023-01-26T00:00:00,155.07,Cash
1006,New York,284,2020-06-02T00:00:00,204.61,Credit Card
1003,Houston,19,2021-04-22T00:00:00,454.71,Debit Card
1005,Chicago,27,2021-08-11T00:00:00,293.2,Online Payment
1006,Chicago,267,2023-06-11T00:00:00,494.7,Online Payment
1006,Miami,241,2023-04-06T00:00:00,208.69,Cash
1007,Chicago,34,2019-03-27T00:00:00,462.32,Cash
1007,Miami,256,2023-08-19T00:00:00,408.63,Online Payment
1007,New York,84,2021-06-30T00:00:00,76.33,Cash
1003,Los Angeles,170,2023-06-07T00:00:00,52.07,Debit Card
